id,extroversion,neurotic,agreeable,conscientious,open,TimeSpent
2228,4.2,3.6,2.4,4.2,4.4,4.65
986621,4.2,3.4,2.6,4.4,4.2,0.96
834114,2.0,3.0,2.6,2.6,3.2,4.52
724962,3.4,3.6,2.6,2.4,3.6,2.39
989225,1.6,4.2,2.6,3.6,4.0,1.96
684086,2.8,3.0,2.8,2.0,3.8,2.4
125435,1.0,3.4,4.0,1.8,4.2,1.14
309908,2.2,3.8,4.0,4.4,4.0,2.08
185258,2.0,3.8,2.0,4.2,4.2,1.95
725067,1.0,3.0,2.8,3.4,4.2,1.3
190656,4.0,2.6,2.6,2.4,3.8,3.06
841862,4.6,4.2,2.6,5.0,4.0,1.71
354037,2.8,3.2,2.0,2.0,4.2,2.85
502936,2.8,3.4,3.0,3.0,2.6,3.24
465517,3.2,4.0,2.6,3.6,3.8,1.95
72766,3.6,3.4,2.8,3.0,2.6,1.34
960944,2.0,2.8,2.8,3.6,5.0,2.06
221528,1.6,4.0,2.2,3.2,3.6,2.58
936311,1.8,2.8,2.8,3.0,3.6,1.44
570725,2.8,2.8,2.8,1.4,3.4,3.12
631240,2.6,3.4,2.4,3.8,3.2,1.69
835631,4.0,3.6,3.4,2.4,3.2,1.18
651169,4.4,3.6,2.2,4.6,3.0,1.78
477703,3.0,3.0,2.6,4.0,3.8,4.42
65762,3.8,3.8,2.6,4.6,3.2,2.25
870315,5.0,2.2,1.8,2.4,3.6,2.79
627932,2.4,2.6,2.2,2.2,4.2,2.29
328394,2.4,3.6,2.8,2.8,3.6,1.84
535829,4.2,3.2,2.6,4.2,4.2,1.53
339978,3.0,3.4,1.8,2.0,3.6,2.91
836610,2.4,2.8,2.8,3.4,3.6,1.57
561759,2.6,3.2,2.2,2.8,4.2,1.15
548393,2.6,3.6,3.0,3.2,4.0,1.54
271786,4.4,3.6,2.4,3.6,4.0,1.88
437375,2.6,3.6,1.8,3.6,3.8,2.08
621880,2.0,3.0,1.8,4.0,3.6,2.65
982880,3.2,3.2,3.4,3.0,3.4,1.45
87619,3.0,3.0,2.8,2.8,3.8,2.64
723087,3.2,3.0,2.0,4.8,4.2,1.27
61070,1.8,3.0,2.2,4.2,4.6,4.29
394729,3.2,4.0,2.6,3.4,3.2,2.82
668698,1.2,3.0,3.0,1.8,4.2,2.15
805,4.4,3.6,2.4,2.8,3.6,3.39
198917,2.2,3.2,3.0,4.0,4.4,3.26
470786,2.0,1.8,3.0,3.4,4.2,2.1
948370,3.0,3.4,2.0,2.4,4.0,1.34
79943,3.0,3.4,2.4,2.8,3.0,1.41
205670,3.0,3.0,2.6,1.4,4.0,1.92
685341,3.2,3.8,2.0,4.2,3.0,3.09
192532,4.0,3.0,3.0,3.8,2.6,4.01
304206,4.0,3.6,2.0,4.2,4.4,1.8
988844,4.0,3.2,2.4,1.8,4.2,1.4
1000836,2.8,3.2,2.2,2.6,3.4,1.44
898491,3.0,2.8,2.6,4.4,4.0,1.4
954473,2.2,3.8,2.8,2.2,4.2,0.95
24131,1.8,2.8,2.2,3.8,3.6,1.26
177984,2.8,3.4,3.6,1.8,3.8,1.26
3730,2.0,3.6,2.0,2.0,3.4,3.27
872079,1.4,3.4,2.2,3.6,3.2,1.65
31651,3.6,3.2,2.6,2.2,3.4,1.01
357084,1.6,3.4,1.8,4.2,3.8,2.36
623548,2.8,3.0,2.4,1.6,3.6,4.57
174527,4.6,3.4,1.8,4.6,3.2,2.29
220521,1.6,3.2,2.8,2.8,3.0,1.52
33914,2.2,4.0,2.0,3.4,4.6,4.88
727759,3.2,4.0,3.0,4.0,3.4,2.56
943304,1.8,3.8,2.4,3.6,3.4,4.33
207381,3.6,2.6,2.2,4.0,4.0,1.19
386357,5.0,3.8,1.8,5.0,4.6,1.91
70870,3.4,2.4,1.8,2.8,3.4,2.07
706383,3.2,3.4,2.8,3.4,4.2,2.2
408104,2.0,3.8,4.2,3.4,4.2,2.55
871708,3.8,3.4,2.6,1.8,4.0,0.97
407922,1.2,3.2,2.6,1.8,4.0,2.86
739317,4.8,2.6,2.6,2.2,3.6,1.46
166518,1.2,3.8,2.2,3.0,3.4,2.52
698075,3.6,3.6,2.0,5.0,4.2,1.76
758340,4.2,3.0,3.0,3.0,4.6,2.21
563591,3.4,3.4,2.4,3.2,3.8,2.05
689715,1.6,2.2,1.6,2.8,4.2,2.97
98187,2.4,3.4,3.4,3.8,3.2,1.99
687165,2.6,3.0,1.8,4.0,3.8,1.76
652512,2.4,2.8,3.6,3.6,4.0,1.24
252626,3.4,3.0,2.8,3.4,2.6,3.54
54624,3.6,3.6,2.0,1.4,2.2,3.03
960522,2.6,3.2,2.2,2.2,3.6,3.15
166301,2.6,3.4,2.2,3.4,4.0,0.95
901806,2.4,3.2,2.0,2.2,3.0,1.33
970416,4.0,4.0,3.8,2.6,3.8,2.7
382262,2.2,2.4,3.0,3.0,4.0,1.23
18779,3.4,3.6,1.8,4.6,3.6,1.59
845148,3.6,3.6,3.0,2.4,3.4,1.53
653761,2.4,3.6,1.4,3.0,4.2,2.45
95425,3.4,3.6,3.6,2.6,3.6,3.67
495300,2.4,2.4,3.0,1.2,3.8,1.9
506092,1.6,2.6,2.0,1.8,3.2,1.27
731283,2.2,3.6,2.2,1.4,2.8,2.38
254510,3.2,2.8,2.6,4.2,3.6,2.02
987265,3.8,3.8,1.2,2.4,3.2,1.5
49322,1.4,3.8,2.2,4.2,3.8,1.91
905225,4.4,3.4,3.2,4.8,4.0,3.67
587714,2.2,3.6,3.4,4.0,4.2,1.5
333746,2.4,3.4,1.8,3.4,3.8,2.59
673212,2.6,3.4,2.0,4.6,3.0,3.14
651291,3.4,3.4,1.6,4.0,4.0,1.77
178176,2.0,3.4,1.8,4.8,4.2,1.69
753178,3.4,3.4,2.4,3.0,3.8,1.06
929878,1.8,3.2,2.2,3.4,3.2,1.66
396457,1.2,4.0,3.2,3.0,3.8,2.08
126404,3.8,4.4,3.4,2.6,3.4,1.96
