learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
16700.0,0.228325,1.0443194251921441E-10,16700.0,6.0,0.0,0.8320342923693254,1.0,1604.0,1.0,1.8,16700.0,1768.0
16800.0,0.229005,1.0474296286702156E-10,16800.0,6.0,0.0,0.8321901257729872,1.0,1604.0,1.0,4.2,16800.0,1768.0
16900.0,0.229733,1.0507593759232097E-10,16900.0,6.0,0.0,0.8325105289394897,1.0,1604.0,1.0,2.4,16900.0,1768.0
17000.0,0.230639,1.0549032646748754E-10,17000.0,6.0,0.0,0.8322868342599139,1.0,1604.0,1.0,2.0,17000.0,1768.0
17100.0,0.231723,1.0598612949252128E-10,17100.0,7.0,0.0,0.8327404225710336,1.0,1604.0,1.0,2.4,17100.0,1768.0
17200.0,0.232456,1.0632139113214281E-10,17200.0,7.0,0.0,0.8328056718869924,1.0,1604.0,1.0,2.0,17200.0,1768.0
17300.0,0.233197,1.066603118346797E-10,17300.0,7.0,0.0,0.8329421938945661,1.0,1604.0,1.0,2.8,17300.0,1768.0
17400.0,0.2339,1.0698185198836856E-10,17400.0,7.0,0.0,0.8335382441912265,1.0,1604.0,1.0,2.2,17400.0,1768.0
17500.0,0.234739,1.0736559621161885E-10,17500.0,7.0,0.0,0.8331621955800456,1.0,1604.0,1.0,3.0,17500.0,1768.0
17600.0,0.235681,1.0779645086990462E-10,17600.0,7.0,0.0,0.8329370323627696,1.0,1604.0,1.0,2.6,17600.0,1768.0
17700.0,0.236403,1.0812668129801749E-10,17700.0,7.0,0.0,0.8331777314103412,1.0,1604.0,1.0,2.4,17700.0,1768.0
17800.0,0.237102,1.0844639192024866E-10,17800.0,7.0,0.0,0.8328267491018265,1.0,1604.0,1.0,2.0,17800.0,1768.0
17900.0,0.23779,1.0876107133097118E-10,17900.0,7.0,0.0,0.8332539063001574,1.0,1604.0,1.0,2.2,17900.0,1768.0
18000.0,0.238571,1.0911828734808498E-10,18000.0,7.0,0.0,0.8334676170380562,1.0,1604.0,1.0,2.0,18000.0,1768.0
18100.0,0.239276,1.0944074226750268E-10,18100.0,7.0,0.0,0.8336338648795293,1.0,1604.0,1.0,3.0,18100.0,1768.0
18200.0,0.239966,1.0975633644395405E-10,18200.0,7.0,0.0,0.8340318345260102,1.0,1604.0,1.0,2.4,18200.0,1768.0
18300.0,0.240681,1.1008336519201598E-10,18300.0,7.0,0.0,0.8340663403930284,1.0,1604.0,1.0,1.8,18300.0,1768.0
18400.0,0.241366,1.1039667245414523E-10,18400.0,7.0,0.0,0.8343761611231177,1.0,1604.0,1.0,2.6,18400.0,1768.0
18500.0,0.242056,1.107122666305966E-10,18500.0,7.0,0.0,0.834730634888871,1.0,1604.0,1.0,2.6,18500.0,1768.0
18600.0,0.242732,1.1102145744694606E-10,18600.0,7.0,0.0,0.8348429247299961,1.0,1604.0,1.0,2.0,18600.0,1768.0
